iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FN	F1_TP+FP	Accuracy_SumError	Accuracy_SumWeight
559	75	99	75	80	75	80	99	90	119
560	75	99	75	80	75	80	99	90	119
561	75	99	75	80	75	80	99	90	119
562	75	99	75	80	75	80	99	90	119
563	75	99	75	80	75	80	99	90	119
564	75	99	75	80	75	80	99	90	119
565	75	100	75	80	75	80	100	89	119
566	75	101	75	80	75	80	101	88	119
567	75	101	75	80	75	80	101	88	119
568	75	101	75	80	75	80	101	88	119
569	75	101	75	80	75	80	101	88	119
570	75	101	75	80	75	80	101	88	119
571	75	101	75	80	75	80	101	88	119
572	75	100	75	80	75	80	100	89	119
573	75	100	75	80	75	80	100	89	119
574	75	100	75	80	75	80	100	89	119
575	75	100	75	80	75	80	100	89	119
576	75	100	75	80	75	80	100	89	119
577	75	100	75	80	75	80	100	89	119
578	75	100	75	80	75	80	100	89	119
579	75	100	75	80	75	80	100	89	119
580	75	100	75	80	75	80	100	89	119
581	75	100	75	80	75	80	100	89	119
582	75	100	75	80	75	80	100	89	119
583	75	100	75	80	75	80	100	89	119
584	75	100	75	80	75	80	100	89	119
585	75	100	75	80	75	80	100	89	119
586	75	100	75	80	75	80	100	89	119
587	75	100	75	80	75	80	100	89	119
588	75	100	75	80	75	80	100	89	119
589	75	100	75	80	75	80	100	89	119
590	75	100	75	80	75	80	100	89	119
591	75	100	75	80	75	80	100	89	119
592	75	100	75	80	75	80	100	89	119
593	75	100	75	80	75	80	100	89	119
594	75	100	75	80	75	80	100	89	119
595	75	100	75	80	75	80	100	89	119
596	75	100	75	80	75	80	100	89	119
597	75	100	75	80	75	80	100	89	119
598	75	100	75	80	75	80	100	89	119
599	75	100	75	80	75	80	100	89	119
600	75	100	75	80	75	80	100	89	119
601	75	100	75	80	75	80	100	89	119
602	75	101	75	80	75	80	101	88	119
603	75	101	75	80	75	80	101	88	119
604	75	100	75	80	75	80	100	89	119
605	75	100	75	80	75	80	100	89	119
606	75	100	75	80	75	80	100	89	119
607	75	100	75	80	75	80	100	89	119
608	75	100	75	80	75	80	100	89	119
609	75	100	75	80	75	80	100	89	119
610	75	100	75	80	75	80	100	89	119
611	75	100	75	80	75	80	100	89	119
612	75	100	75	80	75	80	100	89	119
613	75	100	75	80	75	80	100	89	119
614	75	100	75	80	75	80	100	89	119
615	75	100	75	80	75	80	100	89	119
616	75	100	75	80	75	80	100	89	119
617	75	100	75	80	75	80	100	89	119
618	75	100	75	80	75	80	100	89	119
619	75	100	75	80	75	80	100	89	119
620	75	100	75	80	75	80	100	89	119
621	75	100	75	80	75	80	100	89	119
622	75	100	75	80	75	80	100	89	119
623	75	100	75	80	75	80	100	89	119
624	75	100	75	80	75	80	100	89	119
625	75	100	75	80	75	80	100	89	119
626	75	100	75	80	75	80	100	89	119
627	75	100	75	80	75	80	100	89	119
628	75	100	75	80	75	80	100	89	119
629	75	100	75	80	75	80	100	89	119
630	75	100	75	80	75	80	100	89	119
631	75	100	75	80	75	80	100	89	119
632	75	100	75	80	75	80	100	89	119
633	75	100	75	80	75	80	100	89	119
634	75	100	75	80	75	80	100	89	119
635	75	100	75	80	75	80	100	89	119
636	76	101	76	80	76	80	101	90	119
637	75	100	75	80	75	80	100	89	119
638	76	101	76	80	76	80	101	90	119
639	76	101	76	80	76	80	101	90	119
640	76	101	76	80	76	80	101	90	119
641	76	101	76	80	76	80	101	90	119
642	76	101	76	80	76	80	101	90	119
643	76	101	76	80	76	80	101	90	119
644	76	101	76	80	76	80	101	90	119
645	76	101	76	80	76	80	101	90	119
646	76	101	76	80	76	80	101	90	119
647	76	101	76	80	76	80	101	90	119
648	76	101	76	80	76	80	101	90	119
649	76	101	76	80	76	80	101	90	119
650	76	101	76	80	76	80	101	90	119
651	75	100	75	80	75	80	100	89	119
652	75	100	75	80	75	80	100	89	119
653	75	100	75	80	75	80	100	89	119
654	76	101	76	80	76	80	101	90	119
655	76	101	76	80	76	80	101	90	119
656	76	101	76	80	76	80	101	90	119
657	76	101	76	80	76	80	101	90	119
658	76	101	76	80	76	80	101	90	119
659	76	101	76	80	76	80	101	90	119
660	76	101	76	80	76	80	101	90	119
661	76	101	76	80	76	80	101	90	119
662	76	101	76	80	76	80	101	90	119
663	76	101	76	80	76	80	101	90	119
664	76	101	76	80	76	80	101	90	119
665	76	101	76	80	76	80	101	90	119
666	76	101	76	80	76	80	101	90	119
667	76	101	76	80	76	80	101	90	119
668	76	101	76	80	76	80	101	90	119
